path,cl_method,steps,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
QA_nonecl_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,none_cl,0,0.0,0.802734375,0.381640625,0.4126915669288389,0.3125,0.4773916417322097,0.802734375,0.244140625,0.2878125,0.3125,0.411796875
QA_simplecl_lr=3e-5_ep=10_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,simple_cl,4130,0.9806057226549137,0.7247869318181818,0.841015625,0.5596958132817689,0.4642755681818182,0.6474434845704423,0.69921875,0.83984375,0.54640625,0.49765625,0.64578125
QA_oewc_lr=3e-5_ep=10_lbd=250_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,online_ewc-250.0-1.0,4110,0.9772550932571319,0.7238991477272727,0.846484375,0.5481692206031358,0.4656960227272728,0.6460621915144203,0.6796875,0.841796875,0.53734375,0.50859375,0.64185546875
QA_oewc_lr=3e-5_ep=10_lbd=500_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,online_ewc-500.0-1.0,4130,0.9777403484309225,0.724609375,0.8439453125,0.5511775166543973,0.47123579545454547,0.6477419999022357,0.677734375,0.822265625,0.53953125,0.4890625,0.6321484375
QA_oewc_lr=3e-5_ep=10_lbd=1000_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,online_ewc-1000.0-1.0,4100,0.9776321846766598,0.7221235795454546,0.842578125,0.5595261861658609,0.47230113636363635,0.649132256768738,0.703125,0.84375,0.5475,0.5125,0.6517187499999999
QA_er_lr=3e-5_ep=10_rs=32_rf=3_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,er-32-3,5310,0.9732008779794258,0.7650923295454546,0.8552734375,0.5725228312380736,0.47542613636363634,0.6670786836617911,0.728515625,0.853515625,0.5571875,0.51875,0.6644921875
QA_er_lr=3e-5_ep=10_rs=64_rf=3_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,er-64-3,6620,0.9671547830083737,0.7606534090909091,0.8705078125,0.5701575406150927,0.4620028409090909,0.6658304007787732,0.755859375,0.84375,0.555625,0.48984375,0.66126953125
QA_er_lr=3e-5_ep=10_rs=32_rf=1_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,er-32-1,7810,0.9715071108876034,0.7972301136363636,0.889453125,0.5784948513231114,0.47769886363636355,0.6857192383989597,0.818359375,0.896484375,0.56734375,0.5140625,0.6990625
QA_er_lr=3e-5_ep=10_rs=64_rf=1_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,er-64-1,11730,0.7708647227066104,0.7913707386363636,0.89453125,0.5828797057097028,0.47471590909090905,0.6858744008592439,0.8125,0.859375,0.57328125,0.51484375,0.69
QA_mir_lr=3e-5_ep=10_rs=32_rf=3_mcs=256_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,mir-32/256-3-none,5390,0.9777350472965958,0.7535511363636364,0.875390625,0.563090951836473,0.46193181818181817,0.6634911328454819,0.78515625,0.884765625,0.54984375,0.50390625,0.68091796875
QA_mir_lr=3e-5_ep=10_rs=64_rf=3_mcs=256_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,mir-64/256-3-none,6620,0.9680188918675254,0.7659801136363636,0.8861328125,0.5654128327292575,0.4674005681818182,0.6712315817618598,0.751953125,0.888671875,0.5545312499999999,0.5,0.6737890625
QA_mir_lr=3e-5_ep=10_rs=32_rf=1_mcs=256_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,mir-32/256-1-none,7940,0.9750833217185217,0.7594105113636364,0.8958984375,0.5706442987427249,0.46953125,0.6738711244015904,0.80078125,0.91015625,0.5621875000000001,0.509375,0.695625
QA_mir_lr=3e-5_ep=10_rs=64_rf=1_mcs=256_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,mir-64/256-1-none,11780,0.7657322633321878,0.7739701704545454,0.9029296875,0.576359593828184,0.48473011363636354,0.6844973913547732,0.775390625,0.857421875,0.56203125,0.5265625,0.6803515625000001
